Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65
2,Super Mario Bros.,NES,1985,Platform,Nintendo  ,Nintendo EAD  ,10.0,8.2,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Wii,2008,Racing,Nintendo  ,Nintendo EAD  ,8.2,9.1,15.91,12.92,3.8,3.35,35.98
4,PlayerUnknown's Battlegrounds,PC,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,
5,Wii Sports Resort,Wii,2009,Sports,Nintendo  ,Nintendo EAD  ,8.0,8.8,15.61,10.99,3.29,3.02,32.9
6,Pokémon Red / Green / Blue Version,GB,1998,Role-Playing,Nintendo  ,Game Freak  ,9.4,,11.27,8.89,10.22,1.0,31.37
7,New Super Mario Bros.,DS,2006,Platform,Nintendo  ,Nintendo EAD  ,9.1,8.1,11.28,9.19,6.5,2.89,29.85
8,Tetris,GB,1989,Puzzle,Nintendo  ,Bullet Proof Software  ,,,23.2,2.26,4.22,0.58,30.26
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo  ,Nintendo EAD  ,8.6,9.2,14.53,7.01,4.7,2.27,28.51
10,Minecraft,PC,2010,Misc,Mojang  ,Mojang AB  ,10.0,,,,,,
11,Duck Hunt,NES,1985,Shooter,Nintendo  ,Nintendo R&D1  ,,,26.93,0.63,0.28,0.47,28.31
12,Wii Play,Wii,2007,Misc,Nintendo  ,Nintendo EAD  ,5.9,4.5,13.96,9.18,2.93,2.85,28.92
13,Kinect Adventures!,X360,2010,Party,Microsoft Game Studios  ,Good Science Studio  ,6.7,,15.09,4.97,0.24,1.81,22.1
14,Nintendogs,DS,2005,Simulation,Nintendo  ,Nintendo EAD  ,8.4,,9.05,10.96,1.93,2.74,24.68
15,Mario Kart DS,DS,2005,Racing,Nintendo  ,Nintendo EAD  ,9.1,9.4,9.71,7.51,4.13,1.91,23.26
16,Pokémon Gold / Silver Version,GB,2000,Role-Playing,Nintendo  ,Game Freak  ,9.2,,9.0,6.18,7.2,0.71,23.1
17,Wii Fit,Wii,2008,Sports,Nintendo  ,Nintendo EAD  ,7.9,,8.92,8.03,3.6,2.15,22.7
18,Wii Fit Plus,Wii,2009,Sports,Nintendo  ,Nintendo EAD  ,8.0,,9.01,8.51,2.53,1.76,21.81
19,Super Mario World,SNES,1991,Platform,Nintendo  ,Nintendo EAD  ,8.5,,12.78,3.75,3.54,0.55,20.61
20,Grand Theft Auto V,PS3,2013,Action,Rockstar Games  ,Rockstar North  ,9.4,,6.37,9.85,0.99,3.12,20.32
21,Grand Theft Auto V,PS4,2014,Action,Rockstar Games  ,Rockstar North  ,9.7,,6.06,9.71,0.6,3.02,19.39
22,Brain Age: Train Your Brain in Minutes a Day,DS,2006,Misc,Nintendo  ,Nintendo SDD  ,8.1,,4.74,9.21,4.16,2.04,20.16
23,Garry's Mod,PC,2004,Misc,Unknown  ,Team Garry  ,,,,,,,
24,Super Mario Land,GB,1989,Platform,Nintendo  ,Nintendo R&D1  ,,,10.83,2.71,4.18,0.42,18.14
25,Mario Kart 7,3DS,2011,Racing,Nintendo  ,Nintendo EAD / Retro Studios  ,8.2,,6.03,5.35,3.0,1.11,15.49
26,Pokémon Diamond / Pearl Version,DS,2007,Role-Playing,Nintendo  ,Game Freak  ,8.6,,6.38,4.47,6.04,1.36,18.25
27,Grand Theft Auto: San Andreas,PS2,2004,Action,Rockstar Games  ,Rockstar North  ,9.5,,9.43,0.4,0.41,10.57,20.81
28,Super Mario Bros. 3,NES,1990,Platform,Nintendo  ,Nintendo R&D2  ,,,9.54,3.44,3.84,0.46,17.28
29,Pokémon X/Y,3DS,2013,Role-Playing,Nintendo  ,Game Freak  ,8.9,9.7,5.68,5.06,4.4,0.99,16.13
30,Pokémon Ruby / Sapphire Version,GBA,2003,Role-Playing,Nintendo  ,Game Freak  ,8.8,,6.06,3.9,5.38,0.5,15.85
31,Grand Theft Auto: Vice City,PS2,2002,Action,Rockstar Games  ,Rockstar North  ,9.6,,8.41,5.49,0.47,1.78,16.15
32,Pokémon Sun/Moon,3DS,2016,Role-Playing,Nintendo  ,Game Freak  ,9.0,,6.02,4.34,3.82,0.99,15.17
33,Grand Theft Auto V,X360,2013,Action,Rockstar Games  ,Rockstar North  ,,,9.06,5.33,0.06,1.42,15.86
34,Pokémon Black / White Version,DS,2011,Role-Playing,Nintendo  ,Game Freak  ,8.6,9.0,5.51,3.2,5.66,0.8,15.18
35,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision  ,Treyarch  ,,,6.18,6.05,0.41,2.44,15.09
36,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo  ,Nintendo EPD  ,9.3,,5.05,4.98,2.11,0.91,13.05
37,Counter-Strike: Source,PC,2004,Shooter,VU Games  ,Valve Software  ,9.3,,,0.07,,0.01,0.08
38,Sonic the Hedgehog,GEN,1991,Platform,Sega  ,Sonic Team  ,,,3.03,0.91,0.26,0.13,4.34
39,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.3,,6.85,5.09,1.87,1.16,14.98
40,Brain Age 2: More Training in Minutes a Day,DS,2007,Misc,Nintendo  ,Nintendo SDD  ,8.0,,3.43,5.36,5.32,1.18,15.29
41,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision  ,Infinity Ward  ,8.7,,9.07,4.29,0.13,1.33,14.82
42,Call of Duty: Black Ops,X360,2010,Shooter,Activision  ,Treyarch  ,8.8,,9.76,3.73,0.11,1.14,14.74
43,Pokémon Yellow: Special Pikachu Edition,GB,1999,Role-Playing,Nintendo  ,Game Freak  ,8.7,,5.89,5.04,3.12,0.59,14.64
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,9.5,7.97,2.81,0.13,1.21,12.13
45,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo  ,Game Freak  ,,,4.78,3.98,3.15,0.82,12.73
46,Red Dead Redemption 2,PS4,2018,Action-Adventure,Rockstar Games  ,Rockstar Games  ,9.8,,5.26,6.21,0.21,2.26,13.94
47,Call of Duty: Black Ops II,X360,2012,Shooter,Activision  ,Treyarch  ,,,8.27,4.32,0.07,1.2,13.86
48,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision  ,Treyarch  ,,,4.99,5.88,0.65,2.28,13.8
49,Super Mario Odyssey,NS,2017,Platform,Nintendo  ,Nintendo EPD  ,9.9,,5.1,3.75,2.02,0.84,11.71
50,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision  ,Infinity Ward  ,9.5,9.0,8.54,3.63,0.08,1.28,13.53
51,Call of Duty: WWII,PS4,2017,Shooter,Activision  ,Sledgehammer Games  ,8.0,,4.67,6.21,0.4,2.12,13.4
52,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision  ,Infinity Ward  ,8.8,,5.54,5.78,0.49,1.54,13.35
53,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo  ,Project Sora  ,9.2,9.7,6.64,2.57,2.67,1.03,12.91
54,Grand Theft Auto III,PS2,2001,Action,Rockstar Games  ,DMA Design  ,9.5,,6.99,4.51,0.3,1.3,13.1
55,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo  ,Nintendo  ,7.5,,3.95,4.07,2.59,0.72,11.33
56,Portal 2,PC,2011,Shooter,Valve  ,Valve Software  ,9.7,,0.33,0.33,,0.1,0.75
57,Minecraft,X360,2013,Misc,Microsoft Studios  ,Mojang  ,,,5.96,2.94,0.02,0.9,9.82
58,Super Mario Galaxy,Wii,2007,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.6,6.06,3.38,1.2,0.76,11.4
59,Pokémon Heart Gold / Soul Silver Version,DS,2010,Role-Playing,Nintendo  ,Game Freak  ,8.6,,4.34,2.72,3.96,0.76,11.78
60,Call of Duty: Black Ops,PS3,2010,Shooter,Activision  ,Treyarch  ,8.7,,6.01,4.4,0.48,1.78,12.67
61,Grand Theft Auto V,PC,2015,Action,Rockstar Games  ,Rockstar North  ,,,0.48,0.76,,0.1,1.33
62,Super Mario 3D Land,3DS,2011,Platform,Nintendo  ,Nintendo EAD Tokyo  ,8.9,,5.1,3.46,2.15,0.85,11.56
63,Animal Crossing: New Leaf,3DS,2013,Simulation,Nintendo  ,Nintendo EAD  ,8.6,,2.46,3.06,4.9,0.48,10.9
64,Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo  ,Bandai Namco Games  ,9.4,9.7,4.22,1.72,2.41,0.61,8.95
65,Diablo III,PC,2012,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,9.0,,2.5,2.23,,0.53,5.26
66,Pokémon FireRed / LeafGreen Version,GBA,2004,Role-Playing,Nintendo  ,Game Freak  ,8.3,,4.34,2.65,3.15,0.35,10.49
67,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,8.3,,2.96,4.87,0.81,2.1,10.75
68,Super Mario 64,N64,1996,Platform,Nintendo  ,Nintendo EAD  ,9.7,,6.91,2.85,1.91,0.23,11.89
69,FIFA 18,PS4,2017,Sports,EA Sports  ,EA Vancouver  ,8.3,,1.27,8.64,0.15,1.73,11.8
70,Gran Turismo 4,PS2,2005,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,8.7,,3.01,0.01,1.1,7.53,11.66
71,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo  ,Nintendo EAD  ,8.5,,2.5,3.46,5.33,0.86,12.14
72,The Legend of Zelda: Breath of the Wild,NS,2017,Action-Adventure,Nintendo  ,Nintendo EPD  ,9.9,10.0,4.54,2.94,1.26,0.73,9.46
73,Super Mario Land 2: 6 Golden Coins,GB,1992,Platform,Nintendo  ,Nintendo R&D1  ,9.0,,6.16,2.04,2.69,0.29,11.18
74,Grand Theft Auto IV,X360,2008,Action,Rockstar Games  ,Rockstar North  ,10.0,,6.8,3.11,0.14,1.04,11.09
75,Super Mario 64 DS,DS,2004,Platform,Nintendo  ,Nintendo EAD  ,8.6,,0.01,0.0,1.25,,1.26
76,Terraria,PC,2011,Platform,Unknown  ,Re-Logic  ,8.8,,,0.13,,0.01,0.14
77,FIFA 17,PS4,2016,Sports,Electronic Arts  ,EA Canada  ,8.9,,1.26,7.95,0.12,1.61,10.94
78,Gran Turismo,PS,1998,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.5,,4.02,3.87,2.54,0.52,10.95
79,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision  ,Infinity Ward  ,9.5,,4.99,3.66,0.38,1.59,10.61
80,Grand Theft Auto IV,PS3,2008,Action,Rockstar Games  ,Rockstar North  ,10.0,9.0,4.79,3.73,0.44,1.62,10.57
81,Super Mario All-Stars,SNES,1993,Platform,Nintendo  ,Nintendo EAD  ,,9.5,5.99,2.15,2.12,0.29,10.55
82,Call of Duty: Ghosts,X360,2013,Shooter,Activision  ,Infinity Ward  ,6.9,,6.76,2.64,0.04,0.98,10.41
83,Just Dance 3,Wii,2011,Misc,Ubisoft  ,Ubisoft Paris  ,7.5,,5.95,3.13,,1.06,10.14
84,Call of Duty: Ghosts,PS3,2013,Shooter,Activision  ,Infinity Ward  ,7.5,,4.11,4.01,0.39,1.62,10.13
85,Horizon: Zero Dawn,PS4,2017,Action,Sony Interactive Entertainment  ,Guerrilla Games  ,9.1,8.0,2.2,2.43,0.28,0.92,5.82
86,"Pokémon: Let's Go, Pikachu/Eevee",NS,2018,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,
87,RollerCoaster Tycoon 3,PC,2004,Strategy,Atari  ,Frontier Developments  ,8.3,,0.01,0.22,,0.02,0.26
88,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios  ,Bungie  ,9.3,,7.08,2.01,0.08,0.8,9.97
89,Portal,PC,2008,Shooter,Valve Corporation  ,Valve Software  ,9.0,,,0.0,,0.0,0.01
90,Halo 4,X360,2012,Shooter,Microsoft Studios  ,343 Industries  ,,,6.72,2.36,0.04,0.83,9.96
91,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment  ,SquareSoft  ,9.6,9.5,3.01,2.47,3.28,0.96,9.72
92,Mario Kart 64,N64,1997,Racing,Nintendo  ,Nintendo EAD  ,8.5,,5.55,1.94,2.23,0.15,9.87
93,StarCraft,PC,1998,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,8.7,,0.0,0.04,,0.01,0.05
94,Super Smash Bros. for 3DS,3DS,2014,Fighting,Nintendo  ,Bandai Namco Games  ,8.4,,3.73,1.5,2.55,0.54,8.32
95,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision  ,Infinity Ward  ,9.6,9.0,5.98,2.39,0.13,0.91,9.41
96,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.2,,3.88,3.42,1.69,0.5,9.49
97,Wii Party,Wii,2010,Misc,Nintendo  ,"Nd Cube Co., Ltd.  ",7.0,,1.75,3.51,2.49,0.66,8.41
98,Call of Duty: Black Ops IIII,PS4,2018,Shooter,Activision  ,Treyarch  ,,,4.05,3.28,0.5,1.49,9.32
99,Mario Party DS,DS,2007,Misc,Nintendo  ,Hudson Soft  ,7.1,,4.4,1.86,1.98,0.69,8.93
100,Donkey Kong Country,SNES,1994,Platform,Nintendo  ,Rare Ltd.  ,9.0,,4.36,1.71,3.0,0.23,9.3
101,FIFA 19,PS4,2018,Sports,Electronic Arts  ,EA Sports  ,,,0.84,6.87,0.1,1.34,9.15
102,Rust,PC,2018,Action-Adventure,Facepunch Studios  ,Facepunch Studios  ,6.1,,,,,,
103,Marvel's Spider-Man,PS4,2018,Action-Adventure,Sony Interactive Entertainment  ,Insomniac Games  ,9.1,,3.64,3.39,0.32,1.41,8.76
104,Half-Life 2,PC,2004,Shooter,VU Games  ,Valve Software  ,9.7,,2.28,0.02,0.08,,2.37
105,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.3,,5.1,2.83,0.1,0.85,8.88
106,Mario Party 8,Wii,2007,Misc,Nintendo  ,Hudson Soft  ,6.5,,3.74,2.27,1.58,0.7,8.3
107,Super Mario Kart,SNES,1992,Racing,Nintendo  ,Nintendo EAD  ,10.0,,3.54,1.24,3.81,0.18,8.76
108,Grand Theft Auto V,XOne,2014,Action,Rockstar Games  ,Rockstar North  ,9.0,9.0,4.7,3.25,0.01,0.76,8.72
109,Uncharted 4: A Thief's End,PS4,2016,Action,Sony Interactive Entertainment  ,Naughty Dog  ,9.2,,4.49,3.93,0.21,1.7,10.33
110,Final Fantasy VIII,PS,1999,Role-Playing,Square EA  ,SquareSoft  ,9.4,,2.28,1.72,3.63,0.23,7.86
111,Final Fantasy X,PS2,2001,Role-Playing,Square  ,SquareSoft  ,9.0,10.0,2.91,2.07,2.73,0.33,8.05
112,Pokémon Black 2 and White 2,DS,2012,Role-Playing,Nintendo  ,Game Freak  ,8.0,8.3,2.79,1.79,3.16,0.43,8.16
113,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision  ,Infinity Ward  ,,,3.11,3.83,0.19,1.36,8.48
114,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,8.6,,2.91,3.97,0.27,1.34,8.48
115,Mario Kart 8,WiiU,2014,Racing,Nintendo  ,Nintendo  ,8.8,,3.22,2.55,1.39,0.54,7.69
116,Tekken 3,PS,1998,Fighting,Namco  ,Namco  ,9.6,,3.27,2.22,1.4,0.29,7.16
117,Pokémon: Ultra Sun and Ultra Moon,3DS,2017,Role-Playing,Nintendo  ,Game Freak  ,8.1,,2.46,1.74,2.55,0.4,7.15
118,Splatoon 2,NS,2017,Shooter,Nintendo  ,Nintendo EPD  ,8.2,,1.9,1.8,3.01,0.34,7.04
119,FIFA 16,PS4,2015,Sports,EA Sports  ,EA Canada  ,8.5,,1.15,5.77,0.07,1.23,8.22
120,GoldenEye 007,N64,1997,Shooter,Nintendo  ,Rare Ltd.  ,9.8,,5.8,2.01,0.13,0.15,8.09
121,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts  ,EA DICE  ,7.1,,3.31,3.19,0.23,1.3,8.03
122,FIFA 13,PS3,2012,Sports,EA Sports  ,EA Canada  ,,,1.07,5.13,0.13,1.68,8.01
123,Halo 2,XB,2004,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,,6.82,1.53,0.05,0.08,8.49
124,The Sims 3,PC,2009,Simulation,Electronic Arts  ,EA Redwood Shores  ,8.5,,1.01,6.46,,0.5,7.96
125,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Rockstar Games  ,Rockstar Leeds  ,8.8,,2.9,2.83,0.24,1.74,7.72
126,Pac-Man,2600,1982,Puzzle,Atari  ,Atari  ,,,7.28,0.45,,0.08,7.81
127,Pokémon Platinum Version,DS,2009,Role-Playing,Nintendo  ,Game Freak  ,8.3,8.9,2.76,1.73,2.69,0.54,7.72
128,The Legend of Zelda: Ocarina of Time,N64,1998,Adventure,Nintendo  ,Nintendo EAD  ,9.9,10.0,4.1,1.89,1.45,0.16,7.6
129,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment  ,Naughty Dog  ,8.6,,3.78,2.17,1.31,0.31,7.58
130,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision  ,Sledgehammer Games  ,8.5,,2.84,3.34,0.14,1.22,7.53
131,Call of Duty: World at War,X360,2008,Shooter,Activision  ,Treyarch  ,8.5,7.8,4.88,1.91,,0.71,7.5
132,Super Mario Bros. 2,NES,1988,Platform,Nintendo  ,Nintendo EAD  ,,,5.39,1.18,0.7,0.19,7.46
133,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.8,3.59,2.37,0.98,0.62,7.57
134,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo  ,HAL Laboratory  ,9.2,,4.41,1.04,1.39,0.22,7.07
135,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision  ,Treyarch  ,,,4.63,2.04,0.02,0.68,7.37
136,Battlefield 3,X360,2011,Shooter,Electronic Arts  ,Dice  ,8.5,,4.47,2.12,0.06,0.69,7.35
137,The Legend of Zelda: Twilight Princess,Wii,2006,Adventure,Nintendo  ,Nintendo EAD  ,9.5,9.6,3.74,2.16,0.6,0.69,7.18
138,Battlefield 1,PS4,2016,Shooter,Electronic Arts  ,EA DICE  ,,,2.2,3.65,0.29,1.12,7.26
139,Battlefield 3,PS3,2011,Shooter,Electronic Arts  ,Dice  ,8.5,,2.86,2.94,0.35,1.07,7.21
140,Need for Speed Underground,PS2,2003,Racing,Electronic Arts  ,EA Black Box  ,8.6,,3.27,2.83,0.08,1.02,7.2
141,The Binding of Isaac,PC,2011,Action,Edmund McMillen  ,Edmund McMillen  ,8.3,,,0.0,,0.0,0.0
142,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment  ,Naughty Dog  ,9.3,,3.68,1.75,1.42,0.28,7.13
143,Pokémon Emerald Version,GBA,2005,Role-Playing,Nintendo  ,Game Freak  ,7.7,,2.57,1.58,2.06,0.21,6.41
144,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,2016,Role-Playing,Nintendo  ,Level 5  ,,,0.22,0.2,3.19,0.04,3.65
145,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts  ,EA Black Box  ,8.3,,2.71,3.02,0.08,1.09,6.9
146,Just Dance 4,Wii,2012,Music,Ubisoft  ,Ubisoft  ,,,4.05,2.21,,0.62,6.89
147,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo  ,Nintendo EAD  ,8.5,,4.12,1.77,0.87,0.19,6.95
148,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.3,6.3,2.77,2.81,0.19,1.06,6.84
149,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts  ,EA Los Angeles  ,9.0,,2.93,2.75,0.17,0.99,6.83
150,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment  ,Naughty Dog  ,7.8,,3.23,2.35,0.94,0.3,6.82
151,Zumba Fitness,Wii,2010,Sports,Majesco  ,"Pipeworks Software, Inc.  ",,,3.47,2.62,,0.67,6.76
152,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.5,9.6,3.28,2.22,0.21,1.02,6.74
153,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision  ,Infinity Ward  ,9.5,9.6,3.13,2.27,0.28,1.04,6.72
154,FIFA Soccer 12,PS3,2011,Sports,EA Sports  ,EA Canada  ,9.2,,0.84,4.33,0.11,1.37,6.65
155,FIFA 14,PS3,2013,Sports,EA Sports  ,EA Canada  ,,,0.79,4.77,0.07,0.98,6.61
156,Red Dead Redemption,PS3,2011,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,,2.82,2.58,0.17,1.0,6.57
157,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo  ,Retro Studios  ,8.6,,3.19,1.81,1.03,0.47,6.5
158,The Legend of Zelda,NES,1987,Adventure,Nintendo  ,Nintendo EAD  ,,,3.74,0.93,1.69,0.14,6.51
159,Assassin's Creed III,PS3,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.8,,2.65,2.61,0.16,1.08,6.5
160,Guild Wars,PC,2005,Role-Playing,NCSoft  ,ArenaNet  ,8.7,,0.03,0.0,,0.0,0.04
161,Red Dead Redemption,X360,2010,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,10.0,3.77,2.03,0.09,0.6,6.5
162,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,2.57,2.68,0.25,0.99,6.49
163,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix  ,Square Enix  ,9.4,9.5,1.88,0.0,2.33,1.74,5.95
164,Tomodachi Life,3DS,2014,Simulation,Nintendo  ,Nintendo  ,7.8,,0.97,2.64,1.98,0.28,5.88
165,Pokémon Crystal Version,GBC,2001,Role-Playing,Nintendo  ,Game Freak  ,8.7,,2.55,1.56,1.29,0.99,6.39
166,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios  ,Bungie  ,8.7,,4.34,1.34,0.06,0.61,6.35
167,Minecraft,PS4,2014,Misc,Sony Computer Entertainment  ,Mojang  ,9.4,,1.89,3.13,0.35,0.96,6.33
168,FIFA 15,PS4,2014,Sports,EA Sports  ,EA Canada  ,8.1,,0.83,4.49,0.05,0.94,6.32
