Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
333,Namco Museum,GBA,2001,Misc,Namco  ,Mass Media  ,,,3.0,1.11,0.05,0.07,4.24
334,Daxter,PSP,2006,Platform,Sony Computer Entertainment  ,Ready at Dawn  ,8.6,,2.45,1.02,,0.77,4.23
335,Super Paper Mario,Wii,2007,Platform,Nintendo  ,Intelligent Systems  ,8.5,,1.95,0.87,0.59,0.32,3.73
336,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft  ,Ubisoft Montreal  ,8.8,,1.41,2.03,0.1,0.69,4.23
337,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami  ,KCEJ / Kojima Productions  ,9.0,,1.46,0.0,0.83,1.93,4.23
338,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft  ,Ubisoft Montreal  ,7.9,,2.28,1.47,0.04,0.44,4.22
339,FIFA Soccer 06,PS2,2005,Sports,EA Sports  ,EA Canada  ,8.4,,0.78,2.55,0.04,0.84,4.21
340,Monster Hunter 4 Ultimate,3DS,2015,Role-Playing,Capcom  ,Capcom  ,8.8,,0.72,0.49,2.63,0.12,3.96
341,Street Fighter IV,PS3,2009,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.3,9.0,2.04,1.05,0.59,0.52,4.19
342,7 Days to Die,PC,2013,Action,The Fun Pimps   ,The Fun Pimps  ,,,,,,,
343,FIFA Soccer 12,X360,2011,Sports,EA Sports  ,EA Canada  ,9.2,,0.85,2.79,0.02,0.52,4.18
344,Call of Duty: Ghosts,PS4,2013,Shooter,Activision  ,Infinity Ward  ,7.5,,1.79,1.64,0.05,0.69,4.17
345,Teenage Mutant Ninja Turtles,NES,1989,Platform,Ultra Games  ,Konami  ,5.9,,3.38,0.44,0.31,0.04,4.17
346,Just Cause 2,PC,2010,Action,Eidos Interactive  ,Avalanche Studios  ,8.2,,,0.11,,0.02,0.12
347,Excitebike,NES,1985,Racing,Nintendo  ,Nintendo R&D1  ,,,2.04,0.48,1.57,0.07,4.16
348,Frogger,PS,1997,Action,Hasbro Interactive  ,Millenium Interactive  ,,,3.79,0.27,,0.11,4.16
349,Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts  ,EA DICE  ,6.9,,2.49,1.26,0.02,0.38,4.15
350,FIFA 14,X360,2013,Sports,EA Sports  ,EA Canada  ,,,0.94,2.92,0.01,0.29,4.15
351,Madden NFL 2003,PS2,2002,Sports,EA Sports  ,EA Tiburon  ,9.4,,3.36,0.21,0.01,0.56,4.14
352,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft  ,Ubisoft Montreal  ,,,1.25,2.16,0.09,0.65,4.14
353,Destiny 2,PS4,2017,Shooter,Activision  ,Bungie  ,,,1.92,1.44,0.1,0.69,4.14
354,Half-Life,PC,1998,Shooter,Sierra Entertainment  ,Valve Software  ,9.5,,4.03,0.0,0.09,,4.12
355,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo  ,Nintendo EAD  ,9.0,,1.65,0.61,1.76,0.09,4.12
356,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,8.1,,1.65,1.68,0.11,0.66,4.11
357,FIFA 07 Soccer,PS2,2006,Sports,EA Sports  ,Team Fusion  ,8.4,,0.71,2.48,0.03,0.89,4.11
358,The Sims 4,PC,2014,Simulation,Electronic Arts  ,Maxis  ,7.0,,1.2,2.6,,0.3,4.1
359,Monster Hunter 4,3DS,2013,Role-Playing,Capcom  ,Capcom  ,,,,,3.44,,3.44
360,Street Fighter II Turbo,SNES,1993,Fighting,Capcom  ,Capcom  ,9.0,,1.42,0.51,2.1,0.07,4.1
361,Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks  ,Obsidian Entertainment  ,8.2,,2.67,1.03,0.04,0.34,4.08
362,Assassin's Creed Origins,PS4,2017,Action,Ubisoft  ,Ubisoft Montreal  ,,,1.22,2.11,0.11,0.63,4.06
363,Far Cry 4,PS4,2014,Shooter,Ubisoft  ,Ubisoft Montreal  ,8.4,,1.18,2.14,0.11,0.63,4.06
364,Carnival Games,Wii,2007,Misc,Global Star Software  ,Cat Daddy Games  ,4.2,,2.12,1.47,0.05,0.42,4.06
365,World Soccer Winning Eleven 9,PS2,2006,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,8.9,,0.12,2.26,0.9,0.77,4.06
366,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.1,,2.35,1.27,0.03,0.41,4.05
367,Namco Museum Vol.3,PS,1997,Misc,Namco  ,Namco  ,,,2.28,1.55,0.16,0.06,4.05
368,Tekken Tag Tournament,PS2,2000,Fighting,Namco  ,Namco  ,8.7,,1.68,1.51,0.51,0.35,4.05
369,Golf,NES,1985,Sports,Nintendo  ,Nintendo  ,,,1.22,0.28,2.46,0.04,4.01
370,Diablo II,PC,2000,Role-Playing,Blizzard Entertainment  ,Blizzard North  ,8.8,,0.01,0.11,,0.02,0.14
371,Disney's Aladdin,GEN,1993,Platform,Sega  ,Virgin Interactive  ,,,,,,,
372,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,7.5,,0.88,2.3,0.2,0.83,4.2
373,Just Dance,Wii,2009,Misc,Ubisoft  ,Ubisoft Paris  ,5.4,,3.48,2.99,,0.73,7.21
374,Star Fox 64,N64,1997,Shooter,Nintendo  ,Nintendo EAD  ,9.0,,2.78,0.58,0.64,0.04,4.03
375,Super Mario Maker,WiiU,2015,Platform,Nintendo  ,Nintendo EAD  ,8.8,,1.27,0.94,1.03,0.21,3.45
376,World of Warcraft: Wrath of the Lich King,PC,2008,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,9.3,0.01,0.13,,1.18,1.32
377,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,8.8,,2.18,1.15,0.07,0.61,4.0
378,The Legend of Zelda: Oracle of Ages / Seasons,GBC,2001,Adventure,Nintendo  ,Capcom  ,,,,,,,
379,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.2,,1.18,2.25,,0.56,3.99
380,Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco  ,Digital Eclipse  ,,,2.08,1.35,,0.54,3.98
381,NBA 2K16,PS4,2015,Sports,2K Sports  ,Visual Concepts  ,8.7,,2.56,0.66,0.05,0.71,3.98
382,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts  ,Certain Affinity / Valve Software  ,9.0,,2.67,0.88,0.05,0.38,3.97
383,Far Cry 5,PS4,2018,Action,Ubisoft  ,Ubisoft  ,7.9,,1.44,1.73,0.15,0.62,3.95
384,Battlefield 4,PS4,2013,Shooter,Electronic Arts  ,EA DICE  ,8.3,,1.4,1.74,0.19,0.62,3.94
385,Assassin's Creed IV: Black Flag,PS3,2013,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.7,,1.34,1.86,0.13,0.62,3.94
386,EA Sports Active,Wii,2009,Sports,EA Sports  ,EA Vancouver  ,8.3,,2.11,1.35,0.06,0.4,3.93
387,Half-Life 2: Episode One,PC,2006,Shooter,Electronic Arts  ,Valve Software  ,8.7,,,0.0,,0.0,0.0
388,Donkey Kong Land,GB,1995,Platform,Nintendo  ,Rare Ltd.  ,,,1.97,0.76,1.07,0.11,3.91
389,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo  ,Plato  ,,,,0.99,2.32,0.02,3.33
390,Dragon Quest III,NES,1992,Role-Playing,Enix  ,ChunSoft  ,,8.0,0.1,,3.77,0.0,3.87
391,Tony Hawk's Underground,PS2,2003,Sports,Activision  ,Neversoft Entertainment  ,8.7,,2.29,1.17,0.01,0.42,3.9
392,Just Dance 2014,Wii,2013,Music,Ubisoft  ,Ubisoft Paris  ,7.4,,1.91,1.66,,0.33,3.89
393,Professor Layton and the Diabolical Box,DS,2009,Adventure,Nintendo  ,Level 5  ,8.5,,0.9,1.76,0.92,0.37,3.95
394,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment  ,SCE San Diego Studio  ,7.6,,2.15,1.13,0.1,0.5,3.88
395,MotorStorm,PS3,2007,Racing,Sony Computer Entertainment  ,Evolution Studios  ,8.2,,1.53,1.61,0.06,0.67,3.87
396,World Soccer Winning Eleven 8 International,PS2,2005,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,9.3,,0.16,1.89,1.12,0.68,3.85
397,Namco Museum Vol.1,PS,1996,Misc,Namco  ,Namco  ,,,2.12,1.44,0.22,0.06,3.84
398,The Legend of Zelda: Link's Awakening,GB,1993,Adventure,Nintendo  ,Nintendo EAD  ,,,2.21,0.96,0.54,0.13,3.83
399,Resident Evil VII: Biohazard,PS4,2017,Action,Capcom  ,Capcom  ,8.6,,0.88,1.56,0.41,0.46,3.31
400,Monster Hunter Freedom Unite,PSP,2009,Role-Playing,Capcom  ,Capcom Production Studio 1  ,7.7,9.7,0.47,0.57,4.13,0.34,5.5
401,Gran Turismo Sport,PS4,2017,Racing,Sony Interactive Entertainment  ,Polyphony Digital  ,,,0.63,2.35,0.24,0.54,3.77
402,LEGO Indiana Jones: The Original Adventures,X360,2008,Adventure,LucasArts  ,Traveller's Tales  ,7.5,,2.4,1.01,,0.36,3.76
403,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts  ,Maxis  ,7.3,,2.03,1.56,,0.17,3.76
404,Tomodachi Collection,DS,2009,Misc,Nintendo  ,Nintendo SPD Group No.1  ,,,,,3.67,,3.67
405,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment  ,High Impact Games  ,8.5,,1.4,1.4,0.1,0.86,3.75
406,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts  ,Argonaut Games  ,8.0,,1.37,2.0,0.14,0.22,3.73
407,Pokémon Trading Card Game,GB,2000,Strategy,Nintendo  ,Hudson Soft  ,8.3,,1.49,0.73,1.38,0.1,3.7
408,FIFA 17,XOne,2016,Sports,Electronic Arts  ,EA Canada  ,8.8,,1.04,2.4,,0.27,3.71
409,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment  ,Insomniac Games  ,9.1,,1.93,1.58,,0.19,3.71
410,The Legend of Zelda: A Link Between Worlds,3DS,2013,Adventure,Nintendo  ,Nintendo EAD  ,9.3,,1.53,1.31,0.47,0.26,3.57
411,FIFA Soccer 2005,PS2,2004,Sports,EA Sports  ,EA Canada  ,8.4,,0.58,2.48,0.04,0.59,3.7
412,Diablo III: Reaper of Souls,PC,2014,Action,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
413,The Legend of Zelda: Skyward Sword,Wii,2011,Adventure,Nintendo  ,Nintendo EAD  ,9.4,,2.03,1.18,0.37,0.39,3.96
414,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision  ,Neversoft Entertainment  ,9.6,,2.13,1.18,0.01,0.35,3.67
415,Midnight Club 3: DUB Edition,PSP,2005,Racing,Rockstar Games  ,Rockstar Leeds  ,7.2,,1.65,1.22,,0.79,3.66
416,MySims,DS,2007,Simulation,Electronic Arts  ,EA Redwood Shores  ,6.7,,1.58,1.6,0.08,0.4,3.66
417,Banjo-Kazooie,N64,1998,Platform,Nintendo  ,Rare Ltd.  ,9.3,9.4,1.87,1.13,0.55,0.1,3.65
418,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment  ,Zipper Interactive  ,8.0,,2.53,0.81,0.06,0.24,3.65
419,Battlefield 4,PS3,2013,Shooter,Electronic Arts  ,EA DICE  ,8.7,,1.31,1.5,0.27,0.55,3.64
420,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment  ,Naughty Dog  ,9.0,8.9,2.08,1.09,0.15,0.33,3.64
421,Pokémon Snap,N64,1999,Simulation,Nintendo  ,HAL Laboratory  ,7.9,,2.23,0.68,0.66,0.06,3.63
422,Pro Evolution Soccer 2008,PS2,2008,Sports,Konami  ,Konami  ,8.2,,0.05,0.0,0.64,2.93,3.63
423,FIFA Soccer 10,PS3,2009,Sports,EA Sports  ,EA Canada  ,9.0,,0.6,2.46,0.05,0.52,3.63
424,Guitar Hero: World Tour,Wii,2008,Misc,Activision  ,Vicarious Visions  ,8.4,,2.32,0.96,,0.34,3.62
425,Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Studios  ,The Coalition  ,,,2.88,0.37,,0.37,3.62
426,Star Wars Battlefront,PS2,2004,Shooter,LucasArts  ,Pandemic Studios  ,8.1,,1.93,1.22,0.03,0.44,3.61
427,Doom II,PC,1994,Shooter,GT Interactive  ,id Software  ,9.3,,2.05,1.4,,0.16,3.61
428,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts  ,Radical Entertainment  ,6.1,,2.02,1.17,,0.42,3.61
429,BattleBlock Theater,PC,2014,Platform,The Behemoth  ,The Behemoth  ,,,,,,,
430,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft  ,Ubisoft Quebec  ,8.6,,0.9,2.06,0.08,0.55,3.6
431,Star Wars Battlefront II,PS2,2005,Shooter,LucasArts  ,Pandemic Studios  ,8.5,,2.18,1.02,0.03,0.37,3.59
432,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft  ,Ubisoft Montreal  ,,,2.34,0.9,0.0,0.34,3.58
433,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,Majesco  ,Office Create  ,6.9,,1.6,1.49,0.1,0.39,3.58
434,Undertale,PC,2015,Role-Playing,Toby Fox  ,Toby Fox  ,,,,,,,
435,WWF SmackDown!,PS,2000,Fighting,THQ  ,Yuke's  ,,,2.01,1.35,0.06,0.16,3.58
436,Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive  ,Argonaut Games  ,7.6,,1.57,1.79,,0.2,3.56
437,Battlefield 4,X360,2013,Shooter,Electronic Arts  ,EA DICE  ,8.7,,2.16,1.05,0.02,0.32,3.54
438,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Rockstar Games  ,Rockstar Leeds  ,8.3,,1.56,1.4,0.07,0.5,3.54
439,The Getaway,PS2,2003,Action,Sony Computer Entertainment  ,Team Soho  ,7.7,,1.23,1.77,0.05,0.49,3.54
440,Tomb Raider III: Adventures of Lara Croft,PS,1998,Adventure,Eidos Interactive  ,Core Design Ltd.  ,8.2,,1.66,1.58,0.12,0.18,3.54
441,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive  ,Rocksteady Studios  ,9.1,,2.24,0.95,0.02,0.33,3.54
442,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft  ,Ubisoft Montreal  ,9.1,,2.87,0.39,0.03,0.25,3.53
443,James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts  ,EA Redwood Shores  ,,,1.9,1.13,0.1,0.41,3.53
444,LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive  ,Traveller's Tales  ,7.9,,1.98,1.14,0.01,0.41,3.53
445,Resident Evil 5,X360,2009,Action,Capcom  ,Capcom  ,8.6,,2.13,0.93,0.12,0.34,3.53
446,Rugrats in Paris: The Movie,PS,2000,Action,THQ  ,Avalanche Software  ,,,1.96,1.33,,0.23,3.52
447,NBA 2K17,PS4,2016,Sports,2K Sports  ,Visual Concepts  ,9.0,,2.28,0.59,0.03,0.63,3.52
448,FIFA Soccer 11,X360,2010,Sports,EA Sports  ,EA Canada  ,8.7,,0.71,2.39,0.02,0.4,3.52
449,Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment  ,Insomniac Games  ,8.7,,2.14,1.21,0.01,0.17,3.52
450,Left 4 Dead,X360,2008,Shooter,Valve Corporation  ,Certain Affinity / Valve Software  ,8.7,9.0,2.66,0.49,0.05,0.31,3.52
451,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo  ,Rare Ltd.  ,8.8,,1.17,0.5,1.75,0.08,3.51
452,Fable II,X360,2008,Role-Playing,Microsoft Game Studios  ,Lionhead Studios  ,9.0,9.3,2.51,1.24,0.11,0.41,4.28
453,Kung Fu,NES,1985,Action,Nintendo  ,Irem Software Engineering  ,,,1.64,0.38,1.42,0.06,3.5
454,Resident Evil 3: Nemesis,PS,1999,Action,Capcom  ,Capcom  ,9.4,,1.3,0.77,1.54,0.11,3.72
455,World of Warcraft: The Burning Crusade,PC,2007,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.2,,2.57,1.52,,,4.09
456,FIFA Soccer 2004,PS2,2003,Sports,EA Sports  ,EA Canada  ,8.0,,0.59,2.36,0.04,0.51,3.49
457,Pokémon Mystery Dungeon: Blue Rescue Team,DS,2006,Role-Playing,Nintendo  ,ChunSoft  ,6.3,,1.15,0.05,0.83,,2.03
458,Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,1.94,0.94,,0.61,3.49
459,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts  ,EA Digital Illusions CE  ,9.0,9.3,2.11,1.01,0.04,0.33,3.48
460,Borderlands,X360,2009,Shooter,2K Games  ,Gearbox Software  ,8.3,,2.43,0.72,0.03,0.3,3.48
461,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega  ,Sega  ,7.6,,1.21,1.63,0.27,0.37,3.47
462,Dying Light,PC,2016,Action,Warner Bros. Interactive Entertainment  ,Techland  ,,,0.16,0.06,,0.02,0.24
463,Guitar Hero: On Tour,DS,2008,Misc,Activision  ,Vicarious Visions  ,7.1,8.1,2.1,1.01,0.01,0.35,3.46
464,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari  ,Dimps Corporation  ,,,2.17,0.28,0.55,0.08,3.09
465,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Studios  ,343 Industries  ,,,2.06,1.04,0.03,0.31,3.44
466,LEGO Batman: The Videogame,X360,2008,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.5,,2.07,1.04,,0.34,3.44
467,Tekken 4,PS2,2002,Fighting,Namco  ,Namco  ,7.9,,1.55,1.27,0.33,0.29,3.44
468,FIFA 14,PS4,2013,Sports,EA Sports  ,EA Canada  ,,,0.62,2.18,0.12,0.51,3.43
469,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment  ,Media Molecule  ,9.1,,1.83,1.07,0.06,0.47,3.43
470,Grand Theft Auto 2,PS,1999,Action,Rockstar Games  ,DMA Design  ,6.9,,1.13,2.07,,0.22,3.42
471,Destiny,XOne,2014,Shooter,Activision  ,Bungie  ,8.3,,2.17,0.92,,0.32,3.41
472,Spider-Man 2,PS2,2004,Action,Activision  ,Treyarch  ,7.9,,1.75,1.2,0.02,0.43,3.41
473,F-1 Race,GB,1991,Racing,Nintendo  ,Nintendo  ,,,1.73,0.69,0.59,0.4,3.41
474,World of Warcraft: Battle for Azeroth,PC,2018,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,0.06,,0.0,0.07
475,FIFA Soccer 2003,PS2,2002,Sports,EA Sports  ,EA Canada  ,,,0.46,2.28,0.05,0.61,3.4
476,Crash Bash,PS,2000,Misc,Sony Computer Entertainment  ,Eurocom Entertainment Software  ,6.8,,1.56,1.47,0.19,0.17,3.39
477,Gears of War 4,XOne,2016,Shooter,Microsoft Studios  ,The Coalition  ,,,2.17,0.9,,0.32,3.38
478,Tekken: Dark Resurrection,PSP,2006,Fighting,Namco Bandai  ,8ing/Raizing  ,8.7,,0.76,1.1,0.12,0.65,2.62
479,The Elder Scrolls V: Skyrim Special Edition,PS4,2016,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,8.3,,1.24,1.5,0.08,0.54,3.36
480,Watch Dogs 2,PS4,2016,Action,Ubisoft  ,Ubisoft  ,,,0.98,1.74,0.12,0.52,3.36
481,The Legend of Zelda: Majora's Mask,N64,2000,Adventure,Nintendo  ,Nintendo EAD  ,9.3,,1.9,0.67,0.73,0.06,3.36
482,WWF War Zone,PS,1998,Fighting,Acclaim Entertainment  ,Iguana Entertainment  ,,,2.47,0.76,,0.13,3.36
483,Yoshi's Island DS,DS,2006,Platform,Nintendo  ,Artoon  ,8.2,,1.45,0.07,1.1,0.15,2.77
484,Assassin's Creed IV: Black Flag,X360,2013,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.5,,1.9,1.14,0.01,0.3,3.34
485,NBA 2K18,PS4,2017,Sports,2K Sports  ,Visual Concepts  ,8.1,,2.13,0.57,0.04,0.59,3.34
486,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo  ,Nintendo EAD  ,7.1,,1.05,1.91,0.41,0.42,3.79
487,Rugrats: Search For Reptar,PS,1998,Adventure,THQ  ,n-Space  ,,,1.63,1.53,,0.18,3.34
488,Luigi's Mansion,GC,2001,Action,Nintendo  ,Nintendo EAD  ,7.9,,2.38,0.67,0.46,0.1,3.6
489,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts  ,Eurocom Entertainment Software  ,,,1.45,1.29,0.12,0.46,3.33
490,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment  ,Insomniac Games  ,,,1.44,1.01,0.57,0.3,3.33
491,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo  ,Nintendo EAD  ,6.6,,0.71,1.1,1.45,0.15,3.41
492,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts  ,The Collective  ,,,1.47,1.39,0.03,0.43,3.32
493,Max Payne,PS2,2001,Shooter,Rockstar Games  ,Remedy Entertainment  ,8.1,,1.99,1.05,0.05,0.22,3.31
494,Madden NFL 16,PS4,2015,Sports,EA Sports  ,EA Tiburon  ,8.2,,2.39,0.31,,0.61,3.3
495,World of Warcraft: Legion,PC,2016,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,0.17,0.27,,0.04,0.48
496,World of Warcraft: Warlords of Draenor,PC,2014,MMO,Activision Blizzard  ,Blizzard Entertainment  ,,,0.08,0.36,,0.03,0.47
497,Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games  ,From Software  ,,,,0.11,,0.01,0.11
498,Dark Souls: Prepare to Die Edition,PC,2012,Role-Playing,Namco Bandai Games  ,From Software  ,,,,0.06,,0.0,0.07
499,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts  ,"Hypnos Entertainment, Inc.  ",8.4,,1.5,1.28,0.05,0.46,3.28
500,Half-Life 2: Episode Two,PC,2007,Shooter,Valve Software  ,Valve Corporation  ,9.1,,,,,,
